,Made Donation in March 2007
659,0.382454395294
276,0.136254519224
263,0.236611068249
303,0.240850552917
83,0.684961557388
500,0.725693404675
530,0.278795361519
244,0.101491220295
249,0.0472105629742
728,0.0718992501497
129,0.244097962976
534,0.164637491107
317,0.323145598173
401,0.236611068249
696,0.231199920177
192,0.110776521266
176,0.192365765572
571,0.402906984091
139,0.157128885388
423,0.41435521841
563,0.613838851452
56,0.449842065573
528,0.581764996052
101,0.236611068249
467,0.171363919973
382,0.401939660311
466,0.271233201027
294,0.101491220295
512,0.226375564933
659,0.382454395294
389,0.401939660311
487,0.0810312926769
701,0.246314823627
419,0.169243678451
536,0.135404586792
240,0.232718572021
508,0.12695454061
515,0.101491220295
283,0.523614704609
650,0.236611068249
65,0.289572924376
228,0.193801879883
741,0.0723290368915
297,0.358300417662
464,0.118032969534
63,0.246314823627
231,0.307660281658
28,0.100381448865
248,0.101491220295
357,0.168718189001
300,0.341891914606
726,0.423633664846
680,0.275126218796
520,0.445208519697
254,0.0680607408285
582,0.117960959673
143,0.150397375226
98,0.547196149826
1,0.224742993712
221,0.389644742012
352,0.236611068249
64,0.0415904968977
138,0.177223876119
745,0.372536420822
64,0.0415904968977
688,0.122715704143
623,0.0970215275884
289,0.130491241813
174,0.315577358007
690,0.236611068249
105,0.198006898165
427,0.178859725595
48,0.0638222172856
14,0.236611068249
657,0.0804767906666
301,0.164637491107
455,0.106923751533
579,0.323145598173
722,0.117925994098
98,0.547196149826
491,0.0638222172856
303,0.240850552917
466,0.271233201027
65,0.289572924376
300,0.341891914606
9,0.0790795832872
622,0.110776521266
323,0.111605919898
289,0.130491241813
568,0.226216614246
290,0.236611068249
156,0.089278422296
464,0.118032969534
426,0.109938666224
306,0.174620226026
4,0.221259504557
12,0.342607170343
187,0.140086919069
406,0.0617288127542
96,0.278795361519
509,0.246314823627
733,0.0995067432523
548,0.104271501303
478,0.264454305172
501,0.128957420588
127,0.484474390745
199,0.169351220131
299,0.337321281433
162,0.236611068249
235,0.13357205689
23,0.09809923172
473,0.236611068249
487,0.0810312926769
683,0.57033520937
303,0.240850552917
309,0.080233477056
569,0.0742095187306
34,0.602415025234
686,0.71276050806
84,0.0929164290428
733,0.0995067432523
537,0.43357616663
181,0.124910868704
453,0.452261894941
67,0.308786869049
161,0.452261894941
307,0.493885219097
703,0.119793504477
181,0.124910868704
246,0.109845712781
316,0.358756303787
278,0.110776521266
346,0.203437700868
545,0.236611068249
419,0.169243678451
694,0.278795361519
622,0.110776521266
663,0.0683442428708
262,0.667645812035
461,0.372536420822
373,0.452261894941
233,0.236611068249
466,0.271233201027
207,0.150397375226
263,0.236611068249
16,0.0742095187306
513,0.111331395805
449,0.470614224672
429,0.0581726655364
701,0.246314823627
632,0.0607630200684
529,0.533222138882
245,0.303909897804
344,0.137945890427
353,0.179463684559
241,0.518150627613
633,0.101577870548
624,0.246314823627
726,0.423633664846
189,0.110776521266
138,0.177223876119
402,0.101491220295
511,0.342607170343
590,0.497442990541
334,0.0882696583867
447,0.0746218338609
119,0.271233201027
389,0.401939660311
644,0.236611068249
423,0.41435521841
131,0.0742095187306
405,0.0632271468639
82,0.236611068249
643,0.452261894941
156,0.089278422296
617,0.0839338228106
574,0.434349060059
272,0.372536420822
613,0.0465388447046
545,0.236611068249
685,0.101491220295
570,0.212214186788
537,0.43357616663
691,0.101577870548
85,0.403414994478
483,0.109845712781
455,0.106923751533
93,0.110776521266
744,0.246314823627
33,0.109845712781
321,0.354990720749
523,0.21793204546
426,0.109938666224
196,0.0674367770553
301,0.164637491107
103,0.101577870548
224,0.0668137818575
454,0.109204143286
585,0.0727062299848
154,0.269605875015
